Haizhou AI
Yici CAI
Wenguang CHEN
Zhidong DENG
Jianhua FENG
Ling FENG
Shimin HU
Weitong HUANG
Juanzi LI
Chuang LIN
Bin LIU
Weidong LIU
Shaoping MA
Fengyuan REN
Yuanchun SHI
Jiwu SHU
Fuchun SUN
Maosong SUN
Jiangtao WEN
Jianping WU
Yongwei WU
Ke XU
Mingwei XU
Guangwen YANG
Shiqiang YANG
Mingsheng YING
Youjian ZHAO
Li ZHENG
Weimin ZHENG
Lizhu ZHOU
Qiang ZHOU
Jihong ZHU
Xiaoyan ZHU
Jinian BIAN
Lianhong CAI
Peifa JIA
Zhizhong TANG
Xiaoying BAI
Kang CHEN
Yu CHEN
Yong CUI
Junhui DENG
Sheqin Dong
Yuan DONG
Zhihui DU
Yuan FENG
Zhenchun HUANG
Jinlei JIANG
Dan LI
Sanjiang LI
Xiu LI
Baolin LIU
Huaping LIU
Yongjin LIU
Yuchun MA
Lin QIAO
Jiaxing SONG
Lifeng SUN
Xiaomin SUN
Yankui SUN
Jie TANG
Linmi TAO
Pin TAO
Daoshun WANG
Hong WANG
Jianyong WANG
Shengyuan WANG
Xiaoge WANG
Yong XIANG
Bin XU
Hua XU
Mingxing XU
Wei XUE
Zehong YANG
Hongliang YU
Wenjian YU
Min ZHANG
Songhai ZHANG
Xiaoping ZHANG
Youhui ZHANG
Ying ZHAO
Yuezhi ZHOU
Yixin JIANG
Runyao DUAN
Xiaolin HU
Guoliang LI
Yiqun LIU
Xiping MAO
Yixu SONG
Hailong YAO
Guangyan ZHANG
Jianmin LI
Bo ZHANG
Yaoxue ZHANG
Umut Acar
James Bagnell
John Bares
Ziv Bar-Joseph
Alan Black
Guy Blelloch
Lenore Blum
Avrim Blum
Manuel Blum
Daniel Boyarski
Stephen Brookes
Emma Brunskill
Randal Bryant
James Callan
Jaime Carbonell
Kathleen Carley
Lynn Carter
Justine Cassell
Iliano Cervesato
Howard Choset
Edmund Clarke
William Cohen
Albert Corbett
Thomas Cortina
Lorrie Cranor
Karl Crary
Roger Dannenberg
Fernando De La Torre Frade
Anind Dey
M Dias
Steven Dow
Artur Dubrawski
David Eckhardt
Alexei Efros
Jeffrey Eppinger
Michael Erdmann
Scott Fahlman
Christos Faloutsos
Kayvon Fatahalian
Jodi Forlizzi
David Garlan
Anatole Gershman
Hartmut Geyer
Garth Gibson
Seth Goldstein
Geoffrey Gordon
Carlos Guestrin
Ananda Gunawardena
Anupam Gupta
Abhinav Gupta
Venkatesan Guruswami
Robert Harper
Khaled Harras
Martial Hebert
James Herbsleb
Alex Hills
Jessica Hodgins
Ralph Hollis
Jason Hong
Scott Hudson
Branislav Jaramaz
Bonnie John
Robert Kass
Thomas Keating
Alonzo Kelly
Gregory Kesden
Se Young Kim
Aniket Kittur
Roberta Klatzky
Kenneth Koedinger
Philip Koopman
David Kosbie
Ioannis Koutis
Robert Kraut
Christopher Langmead
Anthony Lattanze
Alon Lavie
Tai-Sing Lee
Lorraine Levin
Golan Levin
Maxim Likhachev
Javier Lopez
Jennifer Mankoff
Don Marinelli
Roy Maxion
Florian Metze
Gary Miller
Eduardo Miranda
Teruko Mitamura
Andrew Moore
James Morris
Jack Mostow
Todd Mowry
Robert Murphy
Onur Mutlu
Brad Myers
Srinivasa Narasimhan
Priya Narasimhan
Christine Neuwirth
Illah Nourbakhsh
Eric Nyberg
Ryan Donnell
Eric Paulos
Andre Platzer
Nancy Pollard
Ariel Procaccia
Bhiksha Ramakrishnan
Raj Reddy
Margaret Reid-Miller
John Reynolds
Cameron Riviere
Katherine Roeder
Gustavo Rohde
David Root
Carolyn Rose
Ronald Rosenfeld
Manuel Rosso-Llopart
Steven Rudich
Alexander Rudnicky
Norman Sadeh-Koniecpol
Nick Sahinidis
Majd  Sakr
Tuomas Sandholm
Mahadev Satyanarayanan
Paul Scerri
William Scherlis
Jeff Schneider
Russell Schwartz
Dana Scott
Srinivasan Seshan
Michael Shamos
Mary Shaw
Yaser Sheikh
Kenji Shimada
Mel Siegel
Sanjiv Singh
Aarti Singh
Donald Slater
Daniel Sleator
Noah Smith
Stephen Smith
Peter Spirtes
Siddhartha Srinivasa
Peter Steenkiste
Mark Stehlik
Aaron Steinfeld
Anthony Stentz
George Stetten
Katia Sycara
Sujata Telang
Karen Thickman
David Touretzky
Adrien Treuille
Maria Manuela Veloso
Stephan Vogel
Luis Von Ahn
John Vu
Howard Wactlar
Alexander Waibel
Larry Wasserman
Lee Weiss
David Wettergreen
William Red Whittaker
Jeannette Wing
Wei Wu
Poe Xing
Yiming Yang
Ge Yang
Hui Zhang
John Zimmerman
Victor Adamchik
Jonathan Aldrich
Vincent Aleven
David Andersen
Christopher Atkeson
